Sample ID	Grupa
H011	Ctrl
H012	TNFa
H013	LPS
H014	IFg
H031	Ctrl
H032	TNFa
H033	LPS
H034	IFg
H041	Ctrl
H042	TNFa
H043	LPS
H044	IFg
H051	Ctrl
H052	TNFa
H053	LPS
H054	IFg
H061	Ctrl
H062	TNFa
H063	LPS
H064	IFg
O221	Ctrl
O222	TNFa
O223	LPS
O224	IFg
O231	Ctrl
O232	TNFa
O233	LPS
O234	IFg
O271	Ctrl
O272	TNFa
O273	LPS
O274	IFg
O661	Ctrl
O662	TNFa
O663	LPS
O664	IFg
O691	Ctrl
O692	TNFa
O693	LPS
O694	IFg
O751	Ctrl
O752	TNFa
O753	LPS
O754	IFg
O771	Ctrl
O772	TNFa
O773	LPS
O774	IFg
O881	Ctrl
O882	TNFa
O883	LPS
O884	IFg
H071	Ctrl
H072	TNFa
H073	LPS
H074	IFg
H081	Ctrl
H082	TNFa
H083	LPS
H084	IFg
H091	Ctrl
H092	TNFa
H093	LPS
H094	IFg
H101	Ctrl
H102	TNFa
H103	LPS
H104	IFg
H111	Ctrl
H112	TNFa
H113	LPS
H114	IFg
O1101	Ctrl
O1102	TNFa
O1103	LPS
O1104	IFg
O1131	Ctrl
O1132	TNFa
O1133	LPS
O1134	IFg
O1171	Ctrl
O1172	TNFa
O1173	LPS
O1174	IFg
O1211	Ctrl
O1212	TNFa
O1213	LPS
O1214	IFg
O1221	Ctrl
O1222	TNFa
O1223	LPS
O1224	IFg
O1271	Ctrl
O1272	TNFa
O1273	LPS
O1274	IFg
O1331	Ctrl
O1332	TNFa
O1333	LPS
O1334	IFg
O1841	Ctrl
O1842	TNFa
O1843	LPS
O1844	IFg
